Symbol,Name,IndustryCode,Industry,Symbol_kor
VTYX,Ventyx Biosciences Inc,56202010.0,생명 공학 및 의학 연구,벤틱스 바이오사이언시스
CPSS,Consumer Portfolio Services Inc,55101030.0,소비자 대출,컨슈머 포트폴리오 서비스
GNFT,Genfit SA ADR,56202010.0,생명 공학 및 의학 연구,젠피트 ADR
FVCB,FVCBankcorp Inc,55101010.0,은행,FVC뱅크코프
SVIIU,Spring Valley Acquisition Ii Units,55601010.0,투자 지주 회사,Spring Valley Acquisition Ii Units
ASCBU,A SPAC II Acquisition Units,55601010.0,투자 지주 회사,A SPAC II Acquisition Units
TDUP,ThredUp Inc,57201030.0,온라인 서비스,스레드업
ABEO,Abeona Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,아베오나 테라퓨틱스
TRONU,Corner Growth Acquisition 2 Units,55601010.0,투자 지주 회사,Corner Growth Acquisition 2 Units
DXLG,Destination XL Group Inc,53403040.0,의류 및 액세서리 소매,데스티네이션 XL 그룹
DCTH,Delcath Systems Inc,56101020.0,"의료 장비, 물품 및 유통",델캐스 시스템즈
EM,Smart Share Global Ltd ADR,57106020.0,전화 및 소형 장치,스마트 쉐어 글로벌 ADR
CSLMU,CSLM Acquisition Units,55601010.0,투자 지주 회사,CSLM Acquisition Units
SWKH,SWK Holdings Corp,55101050.0,기업 금융 서비스,SWK 홀딩스
LANDP,Gladstone Land 6 00 Cumulative Redeemable Preferred Stock Series C,60102040.0,특수 REITs,글래드스톤 랜드 우선주 Series C 6.00%
BOCNU,Blue Ocean Acquisition Units,55601010.0,투자 지주 회사,Blue Ocean Acquisition Units
PNFPP,Pinnacle Finl Partners 40 DS Rep Ord Shs Series B,55101010.0,은행,피너클 파이낸셜 파트너스 우선주 시리즈 B 6.75%
MOLN,Molecular Partners AG ADR,56202010.0,생명 공학 및 의학 연구,몰레큘러 파트너스 ADR
LCNB,LCNB Corp,55101010.0,은행,LCNB
GAUZ,Gauzy Ltd,53203020.0,건설 자재 및 비품,고지
GWACU,Good Works Acquisition Corp,55601010.0,투자 지주 회사,Good Works Acquisition Corp
PRLHU,Pearl Holdings Acquisition Units,55601010.0,투자 지주 회사,Pearl Holdings Acquisition Units
NVX,NOVONIX Ltd ADR,52102030.0,전기 부품 및 장비,노보닉스 ADR
RENB,Renovaro Inc,56202010.0,생명 공학 및 의학 연구,레노바로
FREE,Whole Earth Brands Inc,54102020.0,식품 가공,홀 얼쓰 글로벌 브랜드
PVBC,Provident Bancorp Inc (Maryland),55101010.0,은행,프로비던트 뱅코프
POWW,Ammo Inc,52101010.0,항공우주 및 방위,애모
EGAN,eGain Corp,57201020.0,소프트웨어,이게인
PNRG,Primeenergy Resources Corp,50102020.0,"오일, 가스 탐사 및 생산",프라임에너지 리소스
ITI,Iteris Inc,57102010.0,통신 및 네트워킹,아이테리스
CVRX,CVRx Inc,56101020.0,"의료 장비, 물품 및 유통",CVR엑스
MASS,908 Devices Inc.,56101010.0,첨단 의료 장비 및 기술,908 디바이시스
OTLK,Outlook Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,아웃룩 테라퓨틱스
PIII,P3 Health Partners Inc,56202010.0,생명 공학 및 의학 연구,P3 헬스 파트너스
GLSI,Greenwich Lifesciences Inc,56201040.0,제약,그리니치 라이프사이언스
JAKK,JAKKS Pacific Inc,53205010.0,장난감 및 어린이 제품,잭스 퍼시픽
BCBP,BCB Bancorp Inc,55101010.0,은행,BCB 뱅코프
MHLD,Maiden Holdings Ltd,55301050.0,재보험,메이든 홀딩스
SEVN,Seven Hills Realty Trust,60102040.0,특수 REITs,세븐 힐즈 리얼티 트러스트
BWFG,Bankwell Financial Group Inc,55101010.0,은행,뱅크웰 파이낸셜 그룹
ALCO,Alico Inc,54102010.0,어업 및 농업,알리코
KVACU,Keen Vision Acquisition Units,55601010.0,투자 지주 회사,Keen Vision Acquisition Units
FFNW,First Financial Northwest Inc,55101010.0,은행,퍼스트 파이낸셜 노스웨스트
KVAC,Keen Vision Acquisition Corp,55601010.0,투자 지주 회사,킨 비전 애퀴지션
SHMD,SCHMID Group NV,57101010.0,반도체,슈미드 그룹
IVCB,Investcorp Europe Acquisition Corp I,55601010.0,투자 지주 회사,인베스트코프 유럽 애퀴지션 I
ESCA,Escalade Inc,53205020.0,오락용 제품,에스칼라드
FFIE,Faraday Future Intelligent Electric Inc,53101010.0,자동차 및 트럭 제조,패러데이 퓨처 인텔리전트 일렉트릭
GBIO,Generation Bio Co,56202010.0,생명 공학 및 의학 연구,제너레이션 바이오
TWIN,Twin Disc Inc,52102010.0,산업용 기계 및 장비,트윈 디스크
INBX,Inhibrx Biosciences Inc,56201040.0,제약,인히브릭스 바이오사이언시스
LGCL,Lucas GC Ltd,52203030.0,고용 서비스,루카스 GC
RGTI,Rigetti Computing Inc,57101010.0,반도체,리케티 컴퓨팅
TRVI,Trevi Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,트레비 테라퓨틱스
CHRS,Coherus BioSciences Inc,56202010.0,생명 공학 및 의학 연구,코히러스 바이오사이언스
PRCH,Porch Group Inc,57201020.0,소프트웨어,포치 그룹
CLPT,Clearpoint Neuro Inc,56101010.0,첨단 의료 장비 및 기술,클리어포인트 뉴로
SOWG,Sow Good Inc,54102020.0,식품 가공,소우 굿
CADL,Candel Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,캔델 테라퓨틱스
ARAY,Accuray Inc,56101010.0,첨단 의료 장비 및 기술,애큐레이
PYXS,Pyxis Oncology Inc,56202010.0,생명 공학 및 의학 연구,픽시스 온콜로지
MCRB,Seres Therapeutics Inc,56202010.0,생명 공학 및 의학 연구,세레스 테라퓨틱스
DOGZ,Dogness International Corp,53202020.0,의류 및 액세서리,도그니스 인터네셔널
BDSX,Biodesix Inc,56102010.0,의료 시설 및 서비스,바이오데식스
VRA,Vera Bradley Inc,53202020.0,의류 및 액세서리,베라 브래들리
GHIX,Gores Holdings IX Inc,55601010.0,투자 지주 회사,고어스 홀딩스 IX
ESSA,ESSA Bancorp Inc,55101010.0,은행,ESSA 뱅코프
FITBO,Fifth Third Bancorp 1000 DS Representing Preferred Series K,55101010.0,은행,피프스 서드 뱅코프 우선주 시리즈 K 4.95%
AFCG,AFC Gamma Inc,60102040.0,특수 REITs,AFC 감마
MAQCU,Maquia Capital Acquisition Units,55601010.0,투자 지주 회사,Maquia Capital Acquisition Units
XBIT,XBiotech Inc,56202010.0,생명 공학 및 의학 연구,엑스바이오텍
MBCN,Middlefield Banc Corp,55101010.0,은행,미들필드 은행
CALB,California BanCorp,55101010.0,은행,캘리포니아 뱅코프
BTOC,Armlogi Holding Corp,52405010.0,"배달, 우편, 항공 화물 및 육상 물류",암로지 홀딩
APXIU,APx Acquisition I Units,55601010.0,투자 지주 회사,APx Acquisition I Units
VABK,Virginia National Bankshares Corp,55101010.0,은행,버지니아 내셔널 뱅크셰어
CSTE,Caesarstone Ltd,53203020.0,건설 자재 및 비품,시저스톤
CFFSU,CF Acquisition VII Units,55601010.0,투자 지주 회사,CF Acquisition VII Units
ATLO,Ames National Corp,55101010.0,은행,에임스 내셔널
FAAS,DigiAsia Corp,57301010.0,핀테크,디지아시아
PTWOU,Pono Capital Two Units,55601010.0,투자 지주 회사,Pono Capital Two Units
SHIP,Seanergy Maritime Holdings Corp,52405020.0,해양 화물 및 물류,시너지 마리타임 홀딩스
BRLS,Borealis Foods Inc,54102020.0,식품 가공,보레알리스 푸드
NNBR,NN Inc,52102010.0,산업용 기계 및 장비,NN
ULBI,Ultralife Corp,52102030.0,전기 부품 및 장비,울트라라이프
MGX,Metagenomi Inc,56202010.0,생명 공학 및 의학 연구,메타지노미
FNVTU,Finnovate Acquisition Units,55601010.0,투자 지주 회사,Finnovate Acquisition Units
MFIN,Medallion Financial Corp,55101010.0,은행,메달리언 파이낸셜
BYNOU,Bynordic Acq Units,55601010.0,투자 지주 회사,Bynordic Acq Units
FBLG,Fibrobiologics Inc,56202010.0,생명 공학 및 의학 연구,파이브로바이올로직스
OPRX,OptimizeRx Corp,57201030.0,온라인 서비스,옵티마이즈알엑스
WAFDP,Wafd Depositary Shares,55101010.0,은행,WaFd 우선주 Series A
FLXS,Flexsteel Industries Inc,53204040.0,가정용 가구,플렉스스틸 인더스트리스
LWAY,Lifeway Foods Inc,54102020.0,식품 가공,라이프웨이 푸드
